feature,perm_importance_mean,perm_importance_std
response_time_sec,0.2985570145779778,0.002831226805319589
group_LogicalReasoning,0.048748270284127836,0.000726048225641811
group_MapDistance,0.04004607590147955,0.00035976232684351223
sex_F,0.032663955509686794,0.0006643564057516842
sex_M,0.032018320777094655,0.0008287671471207725
group_Division3,0.031191413336292127,0.0005345098377726632
group_Addition2,0.01726551196681614,0.0005550680595657964
group_DebugRobotCode,0.017148545513687385,0.0002478717106601235
group_Multiplication2,0.013972910832416797,0.00024612458393997387
group_MissingNumber_Subtraction,0.012736961482280618,0.0005108984253958282
group_Rally,0.012341552258546763,0.0005521129409818084
group_Subtraction1,0.012091658628344127,0.0005557681158615688
group_Subtraction2,0.01190138511683091,0.00023587909376755726
group_WordPuzzle,0.011276329793538774,0.0003090316825362222
group_MissingNumber_Division,0.010616330189447087,7.496764451300478e-05
group_RainfallStatistics,0.010506103463537541,0.00027687852104027737
group_Division1,0.009343903513734786,0.00018259514120993532
group_Subtraction3,0.009047138255320376,0.00021729503010361396
group_BasicGeometry,0.007654600588437066,0.00014485698345730036
sex_U,0.00283361344250308,0.000210424854578775
sex_nan,0.0,0.0
group_nan,0.0,0.0
