feature,importance
response_time_sec,0.7627539582552496
rg_threshold_sec,0.07641429446816676
group_LogicalReasoning,0.02908508255571922
group_Division3,0.023494462117918606
group_DebugRobotCode,0.016476956875492388
group_MapDistance,0.013653407889719313
group_Addition2,0.010169860992893165
group_Subtraction1,0.00882752484780363
is_rapid_guess_True,0.006951042586678678
group_RainfallStatistics,0.006784165140589355
group_MissingNumber_Subtraction,0.006407246723106027
is_rapid_guess_False,0.005711340519884771
group_Rally,0.005669134460171657
sex_M,0.0035085716167829995
sex_F,0.0034792521286693594
group_MissingNumber_Division,0.0033121501194841594
group_Division1,0.0030687947598366026
group_Multiplication2,0.0028460609560032467
group_WordPuzzle,0.002496194664802208
group_Subtraction2,0.0024300340841773025
group_Subtraction3,0.0023559619707588307
group_BasicGeometry,0.002059745830142168
sex_U,0.0020447564359500543
sex_nan,0.0
group_nan,0.0
is_rapid_guess_nan,0.0
