q,auc_correct,mean_correct_rg,mean_correct_nonrg,delta_correct,item_mean_delta,resp_flag_rate,n_participants_flagged,jaccard_to_prev_q,auc_norm,stability_jaccard,stab_norm,prev_score,selection_score,recommended
0.05,0.5271511198949523,0.3813559322033898,0.6988232120578616,0.31746727985447176,0.3059130225464757,0.03826571975224568,66,,0.9539949141069851,,0.6134021862263908,0.19132859876122843,0.7755504642082311,False
0.06,0.527798351701929,0.4186046511627907,0.6991955466548997,0.28059089549210897,0.25866403072578004,0.044621720660245806,75,0.88,0.9890893640876541,0.876046511627907,0.33633364275694266,0.22310860330122906,0.7166645716097981,False
0.07,0.5278843957645636,0.45293746051800376,0.6993231694810966,0.24638570896309286,0.23450418206370513,0.051334435904919415,86,0.872093023255814,0.9937548780808058,0.866046511627907,0.2512772864147094,0.2566721795245971,0.697303330725356,False
0.08,0.5279995708549932,0.4774774774774775,0.6994597570627301,0.22198227958525263,0.21747714436652688,0.057593151084735866,100,0.86,0.9999999457776185,0.8365040650406503,0.0,0.2879657554236793,0.6287965430089391,False
0.09,0.5272099538180341,0.5107212475633528,0.6992183428869203,0.1884970953235675,0.18756096283897905,0.066543438077634,123,0.8130081300813008,0.9571850295316364,0.8587099473935915,0.18887514423054722,0.33271719038817005,0.664245280026963,False
0.1,0.5268373137184413,0.5310314685314685,0.6991488318329889,0.16811736330152038,0.1631679841047313,0.07419658202808314,136,0.9044117647058824,0.9369795958755881,0.9116653418124007,0.6392944340235207,0.37098291014041573,0.7910743787464507,True
0.11,0.5254960058477116,0.5512409927942354,0.698613218532764,0.1473722257385286,0.14434152507622774,0.08100658300094044,148,0.918918918918919,0.864250688750512,0.8896920175989944,0.4523973445916305,0.4050329150047022,0.6947729081282665,False
0.12,0.5241371484878382,0.5707564241766196,0.6980836361045808,0.12732721192796115,0.12985913530099125,0.08960015565716509,172,0.8604651162790697,0.790570206529311,0.9080103359173126,0.6082062856389635,0.4480007782858254,0.7016040874378582,False
0.13,0.5218478016216109,0.5898463593854375,0.6970872391624465,0.10724087977700902,0.11465298744047522,0.0970911567273081,180,0.9555555555555556,0.666436367278562,0.9416953035509736,0.8947183466814898,0.4854557836365405,0.7168229027352381,False
0.14,0.5195635233587097,0.6078907435508346,0.6961005010529373,0.08820975750210269,0.09990299944390937,0.10685215812173687,194,0.9278350515463918,0.5425773597712172,0.9258222876779578,0.7597082572493741,0.5342607906086843,0.606884972098411,False
0.15,0.5168345814626464,0.6237679526893832,0.6948618339074983,0.07109388121811511,0.08954817937710977,0.11515387359341052,210,0.9238095238095239,0.3946076310909993,0.9184265010351966,0.6968023908375917,0.5757693679670526,0.5033822327025823,False
0.16,0.5167312738446138,0.6289945440374123,0.6949014376760041,0.06590689363859181,0.08643027077656312,0.12481758925965561,230,0.9130434782608695,0.3890060460103751,0.9417538066409833,0.895215952648588,0.624087946298278,0.5643772080306293,False
0.17,0.5160491336818467,0.6342603987201575,0.6946291178008516,0.06036871908069408,0.08223536925078741,0.1317573045367578,237,0.9704641350210971,0.35201878184321234,0.9536115141508648,0.9960732921848332,0.658786522683789,0.5759119090297562,False
0.18,0.5134588843158497,0.6457234579224949,0.6934204562622752,0.04769699833978036,0.0745345490809533,0.14142102020300287,253,0.9367588932806324,0.21156929244456332,0.9386396696886434,0.8687282384169145,0.7071051010150143,0.45827055709331377,False
0.19,0.5127762944794992,0.650279089738085,0.6931509988922419,0.04287190915415684,0.07048646885086117,0.15105230729318675,269,0.9405204460966543,0.17455764590479605,0.9540731726886149,0.9999999914943644,0.7552615364659336,0.4802607386377803,False
0.2,0.5095570030917502,0.6609101991060544,0.6915685896199113,0.03065839051385688,0.06302805934122627,0.1596134513733502,278,0.9676258992805755,0.0,,0.6134021862263908,0.798067256866751,0.2638273815545923,False
