item,rg_threshold_sec,rg_method,rg_param,n_in_unit
x1,5.231904699534283,ln_quantile,0.1,540
x10,5.231904699534283,ln_quantile,0.1,540
x11,4.807785746287593,ln_quantile,0.1,535
x12,4.807785746287593,ln_quantile,0.1,535
x13,4.807785746287593,ln_quantile,0.1,535
x14,4.56291905427956,ln_quantile,0.1,535
x15,4.56291905427956,ln_quantile,0.1,535
x16,4.56291905427956,ln_quantile,0.1,535
x17,5.140255868502926,ln_quantile,0.1,538
x18,5.140255868502926,ln_quantile,0.1,538
x19,5.140255868502926,ln_quantile,0.1,538
x2,5.231904699534283,ln_quantile,0.1,540
x20,5.140255868502926,ln_quantile,0.1,538
x21,5.140255868502926,ln_quantile,0.1,538
x22,12.730169790623936,ln_quantile,0.1,509
x23,12.730169790623936,ln_quantile,0.1,509
x24,12.730169790623936,ln_quantile,0.1,509
x25,5.453906457858103,ln_quantile,0.1,527
x26,5.453906457858103,ln_quantile,0.1,527
x27,5.453906457858103,ln_quantile,0.1,527
x28,3.9559298326824472,ln_quantile,0.1,530
x29,3.9559298326824472,ln_quantile,0.1,530
x3,5.231904699534283,ln_quantile,0.1,540
x30,3.9559298326824472,ln_quantile,0.1,530
x31,3.9559298326824472,ln_quantile,0.1,530
x32,4.424887393444331,ln_quantile,0.1,522
x33,4.424887393444331,ln_quantile,0.1,522
x34,4.424887393444331,ln_quantile,0.1,522
x35,4.424887393444331,ln_quantile,0.1,522
x36,24.775093276769386,ln_quantile,0.1,509
x37,24.775093276769386,ln_quantile,0.1,509
x38,3.3226248288192926,ln_quantile,0.1,515
x39,3.3226248288192926,ln_quantile,0.1,515
x4,5.231904699534283,ln_quantile,0.1,540
x40,3.3226248288192926,ln_quantile,0.1,515
x41,4.6225948811430495,ln_quantile,0.1,513
x42,4.6225948811430495,ln_quantile,0.1,513
x43,4.6225948811430495,ln_quantile,0.1,513
x44,4.6225948811430495,ln_quantile,0.1,513
x45,11.431153124843853,ln_quantile,0.1,493
x46,11.431153124843853,ln_quantile,0.1,493
x47,11.431153124843853,ln_quantile,0.1,493
x48,4.604355573224857,ln_quantile,0.1,490
x49,4.604355573224857,ln_quantile,0.1,490
x5,5.231904699534283,ln_quantile,0.1,540
x50,10.0350725410761,ln_quantile,0.1,499
x51,10.0350725410761,ln_quantile,0.1,499
x52,10.0350725410761,ln_quantile,0.1,499
x53,10.0350725410761,ln_quantile,0.1,499
x54,4.348129385875149,ln_quantile,0.1,484
x55,4.348129385875149,ln_quantile,0.1,484
x56,4.348129385875149,ln_quantile,0.1,484
x57,9.396235459545991,ln_quantile,0.1,480
x6,5.231904699534283,ln_quantile,0.1,540
x7,5.231904699534283,ln_quantile,0.1,540
x8,5.231904699534283,ln_quantile,0.1,540
x9,5.231904699534283,ln_quantile,0.1,540
